                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92801,                   4.96,                 2.1121,                 1.2356,                0.60661,                0.49533,                0.48686,                0.27735,                0.27508,                0.18224,                 0.1018,                0.02406,                 1.1798,                 4.8851,                 2.0095,                  1.496,             0.00065844,             0.00065844,             0.00065844
                      2,                 1.0318,                 3.1014,                 1.7518,                 1.2885,                0.61836,                0.49065,                0.52375,                0.28942,                0.58418,                0.46262,                0.48468,                0.22473,                 1.3781,                 3.6653,                 2.0102,                 1.7323,              0.0013185,              0.0013185,              0.0013185
                      3,                 1.0351,                 3.0103,                 1.6377,                 1.2822,                0.57643,                0.59141,                0.61198,                0.37017,                0.62104,                 0.5284,                0.53648,                0.25909,                 1.1979,                 3.4656,                 1.8947,                 1.6256,              0.0019721,              0.0019721,              0.0019721
                      4,                 1.0854,                 2.9767,                 1.6651,                 1.3023,                0.39334,                0.52336,                0.44856,                0.23894,                0.51956,                0.33645,                0.34033,                0.16589,                 1.3518,                 3.4808,                 2.1386,                 1.7124,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.0844,                 2.7263,                 1.5127,                 1.3209,                0.54837,                0.62979,                0.58725,                0.33296,                0.60012,                0.50467,                0.48629,                0.22183,                  1.292,                 3.4469,                 1.8076,                 1.6983,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.0666,                 2.7929,                 1.5241,                 1.3138,                0.56363,                0.54925,                0.53846,                0.30681,                0.53589,                0.49065,                0.42588,                0.21009,                 1.3731,                 3.1602,                 2.0209,                  1.649,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.0145,                 2.6745,                 1.3884,                 1.2789,                0.61168,                 0.6215,                0.60482,                0.36035,                0.57049,                0.57101,                0.53223,                0.28166,                 1.2441,                 2.9874,                 1.6226,                 1.6084,              0.0019406,              0.0019406,              0.0019406
                      8,                0.99706,                 2.5538,                 1.3782,                  1.259,                0.69136,                0.66992,                0.68531,                0.41242,                0.59799,                0.57944,                0.53576,                0.26132,                 1.1472,                 3.0559,                  1.583,                 1.4534,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0699,                 2.5691,                 1.4254,                 1.2825,                0.67053,                0.60865,                0.64827,                 0.3896,                0.63595,                0.57009,                0.56964,                0.28632,                 1.1474,                 2.9573,                 1.4661,                 1.5046,              0.0019208,              0.0019208,              0.0019208
                     10,                0.97966,                 2.4474,                 1.2951,                 1.2478,                0.68438,                0.70929,                0.75233,                0.47221,                0.65467,                0.66442,                0.67483,                0.34875,                 1.0716,                 3.1711,                 1.3563,                 1.3964,              0.0019109,              0.0019109,              0.0019109
                     11,                0.95472,                  2.398,                 1.2468,                 1.2314,                0.67065,                 0.7327,                0.72085,                0.46477,                0.64621,                0.65421,                0.62891,                 0.3543,                 1.1183,                 2.9646,                 1.2604,                 1.4507,               0.001901,               0.001901,               0.001901
                     12,                0.96464,                 2.3661,                 1.2338,                 1.2266,                0.69369,                0.64486,                0.71029,                0.46147,                0.68014,                0.63084,                0.63089,                0.34943,                 1.1621,                 2.8353,                 1.2723,                 1.4821,              0.0018911,              0.0018911,              0.0018911
                     13,                0.91123,                 2.1594,                 1.1755,                 1.1996,                0.72476,                0.66355,                0.68077,                0.42954,                0.64629,                0.60748,                0.58304,                0.34272,                 1.1513,                 2.8881,                 1.3583,                 1.4986,              0.0018812,              0.0018812,              0.0018812
                     14,                0.90275,                  2.157,                 1.1315,                 1.2024,                0.76847,                0.60748,                0.73779,                0.48099,                 0.7468,                0.58879,                0.66425,                0.38034,                 1.1035,                 2.5576,                 1.2357,                 1.4599,              0.0018713,              0.0018713,              0.0018713
                     15,                 0.8788,                 2.1011,                 1.1182,                 1.1735,                 0.7317,                0.64994,                0.72344,                0.43885,                0.77953,                0.56075,                0.63503,                0.36337,                 1.1743,                 2.5982,                 1.3428,                 1.5366,              0.0018614,              0.0018614,              0.0018614
                     16,                0.91917,                 2.2033,                 1.1283,                 1.2002,                0.76752,                0.66355,                0.74849,                0.49643,                0.75012,                0.64953,                0.70594,                0.42825,                 1.1174,                 2.3989,                 1.2328,                 1.4131,              0.0018515,              0.0018515,              0.0018515
